"season","week","awayTeam","homeTeam","overUnder","pointSpreadAway","pointsAway","pointsHome"
2000,1,"SF","ATL",42.5,7,28,36
2000,1,"JAC","CLE",38,-10,27,7
2000,1,"PHI","DAL",40,6,41,14
2000,1,"NYJ","GB",36,2.5,20,16
2000,1,"IND","KC",44,-3,27,14
2000,1,"SEA","MIA",36,3,0,23
2000,1,"CHI","MIN",47,4.5,27,30
2000,1,"TB","NE",35.5,-3,21,16
2000,1,"DET","NO",39.5,1,14,10
2000,1,"ARI","NYG",40,7,16,21
2000,1,"SD","OAK",39.5,7,6,9
2000,1,"BAL","PIT",37,-3,16,0
2000,1,"CAR","WAS",47.5,10,17,20
2000,1,"TEN","BUF",40.5,-1,13,16
2000,1,"DEN","STL",49.5,6.5,36,41
2000,2,"JAC","BAL",36,3,36,39
2000,2,"GB","BUF",39.5,6.5,18,27
2000,2,"CLE","CIN",41,6,24,7
2000,2,"ATL","DEN",46,4,14,42
2000,2,"WAS","DET",42,-5.5,10,15
2000,2,"OAK","IND",44,6.5,38,31
2000,2,"MIA","MIN",41,3,7,13
2000,2,"NYG","PHI",39,3,33,18
2000,2,"NO","SD",34,5.5,28,27
2000,2,"CAR","SF",49,-3,38,22
2000,2,"STL","SEA",47.5,-8,37,34
2000,2,"CHI","TB",38,7,0,41
2000,2,"KC","TEN",38,9,14,17
2000,2,"DAL","ARI",38.5,3,31,32
2000,2,"NE","NYJ",40,5,19,20
2000,3,"ATL","CAR",48.5,5.5,15,10
2000,3,"NYG","CHI",43,1.5,14,7
2000,3,"PIT","CLE",36,-2,20,23
2000,3,"TB","DET",34,-3,31,10
2000,3,"PHI","GB",42.5,4,3,6
2000,3,"CIN","JAC",40,13.5,0,13
2000,3,"SD","KC",35,6,10,42
2000,3,"MIN","NE",43,3,21,13
2000,3,"BUF","NYJ",37.5,0,14,27
2000,3,"DEN","OAK",43.5,3,33,24
2000,3,"NO","SEA",40,5.5,10,20
2000,3,"SF","STL",56.5,17,24,41
2000,3,"BAL","MIA",33,-3,6,19
2000,3,"DAL","WAS",44.5,10.5,27,21
2000,4,"GB","ARI",41.5,2.5,29,3
2000,4,"STL","ATL",56,-7,41,20
2000,4,"CIN","BAL",32.5,12.5,0,37
2000,4,"DET","CHI",37.5,2.5,21,14
2000,4,"SF","DAL",46.5,6.5,41,24
2000,4,"KC","DEN",43,6,23,22
2000,4,"NE","MIA",34,3,3,10
2000,4,"PHI","NO",37,1.5,21,7
2000,4,"CLE","OAK",41.5,10,10,36
2000,4,"TEN","PIT",36,-7,23,20
2000,4,"SEA","SD",36,-2.5,20,12
2000,4,"NYJ","TB",36.5,7.5,21,17
2000,4,"WAS","NYG",41.5,2,16,6
2000,4,"JAC","IND",49,3.5,14,43
2000,5,"IND","BUF",44.5,2.5,18,16
2000,5,"DAL","CAR",47.5,6.5,16,13
2000,5,"MIA","CIN",32.5,-7,31,16
2000,5,"BAL","CLE",37.5,-8,12,0
2000,5,"NE","DEN",42,8.5,28,19
2000,5,"MIN","DET",44,-1.5,31,24
2000,5,"CHI","GB",41,6,27,24
2000,5,"PIT","JAC",38,10.5,24,13
2000,5,"ARI","SF",47.5,4,20,27
2000,5,"SD","STL",52,17,31,57
2000,5,"NYG","TEN",38,4,14,28
2000,5,"TB","WAS",35.5,2,17,20
2000,5,"ATL","PHI",41,3,10,38
2000,5,"SEA","KC",40,4.5,17,24
2000,6,"CLE","ARI",39.5,4.5,21,29
2000,6,"NYG","ATL",41.5,-1,13,6
2000,6,"SEA","CAR",42.5,3.5,3,26
2000,6,"NO","CHI",38,3.5,31,10
2000,6,"TEN","CIN",38,-9.5,23,14
2000,6,"GB","DET",42.5,3,24,31
2000,6,"BUF","MIA",34,1,13,22
2000,6,"IND","NE",44,-3.5,16,24
2000,6,"PIT","NYJ",37.5,7,20,3
2000,6,"WAS","PHI",37,-3,17,14
2000,6,"DEN","SD",44.5,-7,21,7
2000,6,"OAK","SF",50,-4.5,34,28
2000,6,"BAL","JAC",37.5,2.5,15,10
2000,6,"TB","MIN",40.5,2,23,30
2000,7,"PHI","ARI",39,-2.5,33,14
2000,7,"SD","BUF",37,10,24,27
2000,7,"CLE","DEN",44,12.5,10,44
2000,7,"SF","GB",50.5,4,28,31
2000,7,"OAK","KC",44,3,20,17
2000,7,"NYJ","NE",37,3,34,17
2000,7,"CAR","NO",40,1.5,6,24
2000,7,"DAL","NYG",40,3.5,14,19
2000,7,"CIN","PIT",37,7.5,0,15
2000,7,"IND","SEA",44,-6,37,24
2000,7,"ATL","STL",58.5,17.5,29,45
2000,7,"BAL","WAS",34.5,3.5,3,10
2000,7,"MIN","CHI",45.5,-7,28,16
2000,7,"JAC","TEN",40.5,7,13,27
2000,8,"DET","TB",37.5,8.5,28,14
2000,8,"NO","ATL",39,-2.5,21,19
2000,8,"TEN","BAL",34.5,1,14,6
2000,8,"SF","CAR",51,3,16,34
2000,8,"DEN","CIN",42.5,-10.5,21,31
2000,8,"ARI","DAL",42.5,6.5,7,48
2000,8,"NE","IND",47,8.5,23,30
2000,8,"WAS","JAC",37,-4,35,16
2000,8,"STL","KC",55.5,-7,34,54
2000,8,"BUF","MIN",44.5,6,27,31
2000,8,"SEA","OAK",43,7,3,31
2000,8,"CHI","PHI",41,7,9,13
2000,8,"CLE","PIT",35,12.5,0,22
2000,8,"MIA","NYJ",35,3,37,40
2000,9,"NO","ARI",40,-6.5,21,10
2000,9,"CAR","ATL",44.5,-3,12,13
2000,9,"PIT","BAL",33.5,6,9,6
2000,9,"NYJ","BUF",40.5,4.5,20,23
2000,9,"CIN","CLE",35,-3,12,3
2000,9,"JAC","DAL",45,3.5,23,17
2000,9,"DET","IND",48,7,18,30
2000,9,"GB","MIA",39,3.5,20,28
2000,9,"PHI","NYG",34.5,3.5,7,24
2000,9,"STL","SF",61.5,-6.5,34,24
2000,9,"KC","SEA",41.5,-3.5,24,19
2000,9,"MIN","TB",41,3,13,41
2000,9,"OAK","SD",42.5,-7,15,13
2000,9,"TEN","WAS",38.5,3.5,27,21
2000,10,"WAS","ARI",40,-9.5,15,16
2000,10,"TB","ATL",40,-8.5,27,14
2000,10,"IND","CHI",47,-7,24,27
2000,10,"BAL","CIN",32.5,-6.5,27,7
2000,10,"NYG","CLE",33.5,-10.5,24,3
2000,10,"MIA","DET",39,2.5,23,8
2000,10,"BUF","NE",38,2,16,13
2000,10,"SF","NO",47.5,5,15,31
2000,10,"DEN","NYJ",46.5,2.5,30,23
2000,10,"KC","OAK",45,3,31,49
2000,10,"DAL","PHI",40,3,13,16
2000,10,"SD","SEA",39,3.5,15,17
2000,10,"PIT","TEN",35.5,7.5,7,9
2000,10,"CAR","STL",58.5,13.5,27,24
2000,10,"MIN","GB",47.5,-3.5,20,26
2000,11,"CHI","BUF",39.5,7,3,20
2000,11,"NO","CAR",37.5,1.5,20,10
2000,11,"NE","CLE",32.5,-7,11,19
2000,11,"CIN","DAL",37.5,7,6,23
2000,11,"ATL","DET",40.5,7.5,10,13
2000,11,"SEA","JAC",41,8.5,28,21
2000,11,"ARI","MIN",48,13.5,14,31
2000,11,"STL","NYG",48.5,-1.5,38,24
2000,11,"PHI","PIT",32,3.5,26,23
2000,11,"MIA","SD",33.5,-5.5,17,7
2000,11,"KC","SF",54,-4,7,21
2000,11,"GB","TB",43,9,15,20
2000,11,"BAL","TEN",33.5,4,24,23
2000,11,"NYJ","IND",51.5,6,15,23
2000,11,"OAK","DEN",48.5,3.5,24,27
2000,12,"DAL","BAL",37,8,0,27
2000,12,"TB","CHI",35,-7,10,13
2000,12,"SD","DEN",41,9,37,38
2000,12,"IND","GB",44.5,-4.5,24,26
2000,12,"BUF","KC",42,3,21,17
2000,12,"NYJ","MIA",39.5,3.5,20,3
2000,12,"CAR","MIN",47.5,9.5,17,31
2000,12,"CIN","NE",35.5,7,13,16
2000,12,"OAK","NO",42,-3,31,22
2000,12,"DET","NYG",35.5,6.5,31,21
2000,12,"ARI","PHI",38,8,9,34
2000,12,"ATL","SF",48,6,6,16
2000,12,"CLE","TEN",35.5,16,10,24
2000,12,"JAC","PIT",37,3.5,34,24
2000,12,"WAS","STL",55.5,6,33,20
2000,13,"MIN","DAL",48.5,-7.5,27,15
2000,13,"NE","DET",38.5,6.5,9,34
2000,13,"CLE","BAL",33,17,7,44
2000,13,"PIT","CIN",33.5,-4.5,48,28
2000,13,"MIA","IND",43.5,7,17,14
2000,13,"TEN","JAC",41.5,-3,13,16
2000,13,"CHI","NYJ",36.5,7,10,17
2000,13,"ATL","OAK",44,12,14,41
2000,13,"KC","SD",41.5,-3,16,17
2000,13,"DEN","SEA",44.5,-3,38,31
2000,13,"NO","STL",53,13.5,31,24
2000,13,"BUF","TB",36,3.5,17,31
2000,13,"PHI","WAS",37,6.5,23,20
2000,13,"NYG","ARI",38.5,-7.5,31,7
2000,13,"GB","CAR",45,-2.5,14,31
2000,14,"DET","MIN",48,8.5,17,24
2000,14,"SEA","ATL",41,1,30,10
2000,14,"MIA","BUF",35.5,3,33,6
2000,14,"STL","CAR",53.5,-8,3,16
2000,14,"ARI","CIN",38.5,4,13,24
2000,14,"CLE","JAC",39,15,0,48
2000,14,"DEN","NO",45,1,38,23
2000,14,"IND","NYJ",44,2,17,27
2000,14,"TEN","PHI",35.5,-3,15,13
2000,14,"OAK","PIT",42.5,-3,20,21
2000,14,"SF","SD",43.5,-3,45,17
2000,14,"DAL","TB",37,10.5,7,27
2000,14,"NYG","WAS",36.5,6,9,7
2000,14,"GB","CHI",39.5,-2.5,28,6
2000,14,"KC","NE",40,0,24,30
2000,15,"SD","BAL",35.5,15,3,24
2000,15,"NE","CHI",36,2,17,24
2000,15,"PHI","CLE",34,-14,35,24
2000,15,"WAS","DAL",39,-6.5,13,32
2000,15,"SEA","DEN",45,10.5,24,31
2000,15,"DET","GB",39,4,13,26
2000,15,"ARI","JAC",42.5,17,10,44
2000,15,"CAR","KC",41,2.5,14,15
2000,15,"TB","MIA",34,3,16,13
2000,15,"PIT","NYG",35,3.5,10,30
2000,15,"NO","SF",47,3,31,27
2000,15,"MIN","STL",58.5,3.5,29,40
2000,15,"CIN","TEN",36,13,3,35
2000,15,"NYJ","OAK",46.5,3.5,7,31
2000,15,"BUF","IND",47.5,7,20,44
2000,16,"WAS","PIT",37,2,3,24
2000,16,"OAK","SEA",45.5,-7,24,27
2000,16,"BAL","ARI",37.5,-16.5,13,7
2000,16,"NE","BUF",36.5,4.5,13,10
2000,16,"SD","CAR",37.5,7.5,22,30
2000,16,"JAC","CIN",41,-10,14,17
2000,16,"TEN","CLE",36,-16,24,0
2000,16,"DEN","KC",47,-3,7,20
2000,16,"IND","MIA",42,3,20,13
2000,16,"GB","MIN",49.5,8.5,33,28
2000,16,"ATL","NO",40,10,7,23
2000,16,"DET","NYJ",36,6.5,10,7
2000,16,"CHI","SF",46,7,0,17
2000,16,"NYG","DAL",36,-7,17,13
2000,16,"STL","TB",47.5,-2.5,35,38
2000,17,"SF","DEN",52,7,9,38
2000,17,"JAC","NYG",38,3.5,25,28
2000,17,"BUF","SEA",43,3,42,23
2000,17,"KC","ATL",41,-4.5,13,29
2000,17,"NYJ","BAL",34.5,5.5,20,34
2000,17,"CHI","DET",37,9,23,20
2000,17,"TB","GB",36,3,14,17
2000,17,"MIN","IND",51.5,6.5,10,31
2000,17,"MIA","NE",34,-4,27,24
2000,17,"STL","NO",56.5,-4,26,21
2000,17,"CAR","OAK",45,10.5,9,52
2000,17,"CIN","PHI",36.5,10.5,7,16
2000,17,"PIT","SD",37.5,-4,34,21
2000,17,"ARI","WAS",38.5,7,3,20
2000,17,"DAL","TEN",38,14,0,31
2000,18,"IND","MIA",41.5,-1.5,17,23
2000,18,"STL","NO",55,-7,28,31
2000,18,"DEN","BAL",39,3,3,21
2000,18,"TB","PHI",33,-3,3,21
2000,19,"NO","MIN",50,8,16,34
2000,19,"MIA","OAK",42,9,0,27
2000,19,"PHI","NYG",34,5,10,20
2000,19,"BAL","TEN",33,6,24,10
2000,20,"MIN","NYG",43,-3,0,41
2000,20,"BAL","OAK",36.5,6.5,16,3
2000,21,"BAL","NYG",33.5,-3,34,7
2001,1,"CHI","BAL",33.5,9.5,6,17
2001,1,"NO","BUF",37.5,-3,24,6
2001,1,"NE","CIN",35.5,1,17,23
2001,1,"SEA","CLE",38,-3,9,6
2001,1,"TB","DAL",33.5,-9.5,10,6
2001,1,"DET","GB",41.5,6.5,6,28
2001,1,"PIT","JAC",37.5,3,3,21
2001,1,"OAK","KC",44,-3,27,24
2001,1,"CAR","MIN",45.5,10.5,24,13
2001,1,"IND","NYJ",44.5,-2.5,45,24
2001,1,"STL","PHI",46,-3,20,17
2001,1,"WAS","SD",36,3,3,30
2001,1,"ATL","SF",46.5,3.5,13,16
2001,1,"MIA","TEN",33.5,6,31,23
2001,1,"NYG","DEN",44,7,20,31
2001,2,"CAR","ATL",40,3.5,16,24
2001,2,"MIN","CHI",43,-3.5,10,17
2001,2,"BAL","CIN",33.5,-7,10,21
2001,2,"DET","CLE",33.5,-1,14,24
2001,2,"SD","DAL",33,-4,32,21
2001,2,"BUF","IND",45,10,26,42
2001,2,"TEN","JAC",37,3,6,13
2001,2,"NYG","KC",39,-1,13,3
2001,2,"OAK","MIA",39.5,1,15,18
2001,2,"NYJ","NE",39.5,-2,10,3
2001,2,"STL","SF",49.5,-6.5,30,26
2001,2,"PHI","SEA",37,-2.5,27,3
2001,2,"DEN","ARI",46,-9,38,17
2001,2,"WAS","GB",41,10,0,37
2001,3,"ATL","ARI",41.5,-3,34,14
2001,3,"PIT","BUF",35,-3,20,3
2001,3,"GB","CAR",42,-4,28,7
2001,3,"BAL","DEN",42,5.5,20,13
2001,3,"CLE","JAC",34.5,8.5,23,14
2001,3,"TB","MIN",38.5,-2,16,20
2001,3,"IND","NE",44,-13,13,44
2001,3,"NO","NYG",35,3,13,21
2001,3,"SEA","OAK",39,10.5,14,38
2001,3,"CIN","SD",40,6,14,28
2001,3,"MIA","STL",43,6,10,42
2001,3,"KC","WAS",34.5,-3,45,13
2001,3,"DAL","PHI",35,14,18,40
2001,3,"SF","NYJ",47,3,19,17
2001,4,"CHI","ATL",39.5,3,31,3
2001,4,"TEN","BAL",33,3.5,7,26
2001,4,"NYJ","BUF",35.5,4,42,36
2001,4,"SD","CLE",35.5,-3.5,16,20
2001,4,"KC","DEN",48,10,6,20
2001,4,"NE","MIA",35,8.5,10,30
2001,4,"MIN","NO",44,4,15,28
2001,4,"WAS","NYG",36,14,9,23
2001,4,"DAL","OAK",41.5,17,21,28
2001,4,"ARI","PHI",41.5,14,21,20
2001,4,"CIN","PIT",35,4,7,16
2001,4,"JAC","SEA",35,3,15,24
2001,4,"GB","TB",36,2.5,10,14
2001,4,"CAR","SF",45,7,14,24
2001,4,"STL","DET",50,-14,35,0
2001,5,"SF","ATL",43.5,-3.5,37,31
2001,5,"NO","CAR",39,-6,27,25
2001,5,"ARI","CHI",39.5,7.5,13,20
2001,5,"CLE","CIN",35,2,14,24
2001,5,"BAL","GB",34,-1,23,31
2001,5,"PIT","KC",35.5,3,20,17
2001,5,"DET","MIN",44.5,10.5,26,31
2001,5,"SD","NE",35.5,-3,26,29
2001,5,"MIA","NYJ",39,-3,17,21
2001,5,"DEN","SEA",42.5,-6,21,34
2001,5,"NYG","STL",46,12,14,15
2001,5,"TB","TEN",33,3,28,31
2001,5,"OAK","IND",52.5,3.5,23,18
2001,5,"WAS","DAL",37.5,3,7,9
2001,6,"BUF","JAC",39.5,8.5,13,10
2001,6,"KC","ARI",42,-2.5,16,24
2001,6,"CHI","CIN",35,1.5,24,0
2001,6,"BAL","CLE",32.5,-7.5,14,24
2001,6,"TEN","DET",40,-4.5,27,24
2001,6,"NE","IND",47,10,38,17
2001,6,"GB","MIN",47.5,-3.5,13,35
2001,6,"ATL","NO",42,7,20,13
2001,6,"STL","NYJ",47,-7,34,14
2001,6,"DEN","SD",44.5,-3,10,27
2001,6,"PIT","TB",32.5,5,17,10
2001,6,"CAR","WAS",35,-3,14,17
2001,6,"PHI","NYG",36.5,3,10,9
2001,7,"IND","KC",46.5,-3,35,28
2001,7,"JAC","BAL",33,7.5,17,18
2001,7,"NYJ","CAR",39,-3,13,12
2001,7,"SF","CHI",37.5,2,31,37
2001,7,"ARI","DAL",37.5,-2.5,3,17
2001,7,"NE","DEN",43,7,20,31
2001,7,"CIN","DET",39,3,31,27
2001,7,"OAK","PHI",38,0,20,10
2001,7,"BUF","SD",39,7,24,27
2001,7,"MIA","SEA",36,-2.5,24,20
2001,7,"NO","STL",47.5,10.5,34,31
2001,7,"MIN","TB",38.5,3,14,41
2001,7,"NYG","WAS",34.5,-8,21,35
2001,7,"TEN","PIT",35.5,2.5,7,34
2001,8,"PHI","ARI",39.5,-6.5,21,7
2001,8,"NE","ATL",42,3,24,10
2001,8,"IND","BUF",45.5,-3,30,14
2001,8,"CLE","CHI",34,4,21,27
2001,8,"TB","GB",37.5,6,20,21
2001,8,"CAR","MIA",33,9,6,23
2001,8,"DAL","NYG",34,10,24,27
2001,8,"BAL","PIT",33,1,13,10
2001,8,"KC","SD",42,5.5,25,20
2001,8,"DET","SF",47.5,8,13,21
2001,8,"JAC","TEN",37.5,3,24,28
2001,8,"SEA","WAS",37,-2.5,14,27
2001,8,"NYJ","NO",42.5,6,16,9
2001,8,"DEN","OAK",46,6,28,38
2001,9,"NYG","ARI",37.5,-5.5,17,10
2001,9,"DAL","ATL",37,4,13,20
2001,9,"GB","CHI",38,-3,20,12
2001,9,"PIT","CLE",33,-3,15,12
2001,9,"SD","DEN",45.5,5.5,16,26
2001,9,"TB","DET",40,-5,20,17
2001,9,"MIA","IND",43.5,3,27,24
2001,9,"CIN","JAC",39.5,4,13,30
2001,9,"BUF","NE",39,6,11,21
2001,9,"KC","NYJ",40,3.5,7,27
2001,9,"MIN","PHI",40.5,4.5,17,48
2001,9,"NO","SF",44.5,3,27,28
2001,9,"CAR","STL",47,19.5,14,48
2001,9,"OAK","SEA",43.5,-6,27,34
2001,9,"BAL","TEN",36.5,-2.5,16,10
2001,10,"DET","ARI",39.5,1.5,38,45
2001,10,"CLE","BAL",33,8,27,17
2001,10,"SEA","BUF",39,-3.5,23,20
2001,10,"SF","CAR",43,-7,25,22
2001,10,"TEN","CIN",39.5,1,20,7
2001,10,"PHI","DAL",37,-7.5,36,3
2001,10,"WAS","DEN",42,8.5,17,10
2001,10,"ATL","GB",39.5,10.5,23,20
2001,10,"NYJ","MIA",37.5,5,24,0
2001,10,"IND","NO",48,6,20,34
2001,10,"SD","OAK",45,8.5,24,34
2001,10,"JAC","PIT",35,7.5,7,20
2001,10,"CHI","TB",35,6,27,24
2001,10,"STL","NE",47.5,-8,24,17
2001,10,"NYG","MIN",45,2,16,28
2001,11,"DEN","DAL",39.5,-7,26,24
2001,11,"GB","DET",48,-6.5,29,27
2001,11,"MIA","BUF",35.5,-4.5,34,27
2001,11,"ATL","CAR",40,-3,10,7
2001,11,"CIN","CLE",35,4,0,18
2001,11,"SF","IND",53,2.5,40,21
2001,11,"BAL","JAC",34,-3,24,21
2001,11,"SEA","KC",40.5,2,7,19
2001,11,"NO","NE",41,-1,17,34
2001,11,"OAK","NYG",39.5,-3,28,10
2001,11,"WAS","PHI",36,7,13,3
2001,11,"ARI","SD",44.5,7,20,17
2001,11,"PIT","TEN",34.5,2,34,24
2001,11,"CHI","MIN",46,3,13,6
2001,11,"TB","STL",47.5,10,24,17
2001,12,"PHI","KC",37,-3,23,10
2001,12,"STL","ATL",49.5,-7.5,35,6
2001,12,"IND","BAL",43.5,6,27,39
2001,12,"DET","CHI",38,7,10,13
2001,12,"TB","CIN",35,-5,16,13
2001,12,"TEN","CLE",36.5,-1,31,15
2001,12,"DEN","MIA",39,3,10,21
2001,12,"CAR","NO",40.5,10,23,27
2001,12,"NE","NYJ",38,3,17,16
2001,12,"ARI","OAK",43,11.5,34,31
2001,12,"MIN","PIT",40,8.5,16,21
2001,12,"SD","SEA",42,3,10,13
2001,12,"DAL","WAS",35,8,20,14
2001,12,"BUF","SF",44,8.5,0,35
2001,12,"GB","JAC",44,-4,28,21
2001,13,"WAS","ARI",39,1,20,10
2001,13,"NO","ATL",40,-3,28,10
2001,13,"CAR","BUF",36.5,3,24,25
2001,13,"JAC","CIN",37,1,14,10
2001,13,"NYG","DAL",35,-3.5,13,20
2001,13,"CHI","GB",37,4.5,7,17
2001,13,"TEN","MIN",42,-2,24,42
2001,13,"CLE","NE",36,5.5,16,27
2001,13,"KC","OAK",44.5,9,26,28
2001,13,"SD","PHI",37,7,14,24
2001,13,"NYJ","PIT",34.5,3.5,7,18
2001,13,"SF","STL",55.5,7,14,27
2001,13,"DET","TB",37,7.5,12,15
2001,13,"SEA","DEN",40.5,6.5,7,20
2001,13,"IND","MIA",46,4.5,6,41
2001,14,"ARI","NYG",37,6,13,17
2001,14,"OAK","SD",46.5,-3.5,13,6
2001,14,"NE","BUF",40,-4,12,9
2001,14,"TB","CHI",32,1.5,3,27
2001,14,"JAC","CLE",36.5,2,15,10
2001,14,"MIN","DET",46.5,-3,24,27
2001,14,"ATL","IND",46.5,4,27,41
2001,14,"DEN","KC",37.5,1,23,26
2001,14,"CIN","NYJ",34.5,8.5,14,15
2001,14,"MIA","SF",43.5,4,0,21
2001,14,"DAL","SEA",33.5,5.5,3,29
2001,14,"GB","TEN",43.5,-3,20,24
2001,14,"PHI","WAS",34,-3,20,6
2001,14,"PIT","BAL",33,-3,26,21
2001,14,"STL","NO",51,-6.5,34,21
2001,15,"MIA","NE",36,3,13,20
2001,15,"TEN","OAK",45,5.5,13,10
2001,15,"PHI","SF",38,3,3,13
2001,15,"DAL","ARI",37.5,3,10,17
2001,15,"BUF","ATL",42,3,30,33
2001,15,"CIN","BAL",33.5,10.5,0,16
2001,15,"STL","CAR",45,-12.5,38,32
2001,15,"CLE","GB",35,7.5,7,30
2001,15,"SD","KC",38.5,3,17,20
2001,15,"JAC","MIN",45,3,33,3
2001,15,"SEA","NYG",34,3,24,27
2001,15,"DET","PIT",35,10,14,47
2001,15,"NO","TB",38,2.5,21,48
2001,15,"CHI","WAS",33,0,20,15
2001,15,"NYJ","IND",48,1,29,28
2001,16,"BAL","TB",34,2.5,10,22
2001,16,"ARI","CAR",34,2.5,30,7
2001,16,"PIT","CIN",34,-8,23,26
2001,16,"SF","DAL",39.5,-6,21,27
2001,16,"OAK","DEN",41,1,17,23
2001,16,"CHI","DET",37.5,-5.5,24,0
2001,16,"MIN","GB",36,13,13,24
2001,16,"KC","JAC",41,4.5,30,26
2001,16,"ATL","MIA",38.5,7,14,21
2001,16,"BUF","NYJ",37,7,14,9
2001,16,"NYG","PHI",34,5,21,24
2001,16,"SEA","SD",38,2,25,22
2001,16,"IND","STL",58.5,12,17,42
2001,16,"CLE","TEN",37,6,41,38
2001,16,"WAS","NO",39.5,5,40,10
2001,17,"NE","CAR",35.5,-6.5,38,6
2001,17,"JAC","CHI",34,4.5,13,33
2001,17,"DAL","DET",36,-3,10,15
2001,17,"DEN","IND",51.5,2,10,29
2001,17,"BUF","MIA",35.5,5.5,7,34
2001,17,"SF","NO",46,-2.5,38,0
2001,17,"GB","NYG",37.5,-3,34,25
2001,17,"NYJ","OAK",40.5,3.5,24,22
2001,17,"CLE","PIT",34,5.5,7,28
2001,17,"KC","SEA",39.5,3.5,18,21
2001,17,"ATL","STL",47.5,15.5,13,31
2001,17,"CIN","TEN",39.5,5.5,23,21
2001,17,"ARI","WAS",35.5,4,17,20
2001,17,"PHI","TB",33,4,17,13
2001,17,"MIN","BAL",37,12.5,3,19
2001,18,"NYJ","OAK",42,5.5,24,38
2001,18,"TB","PHI",33,3.5,9,31
2001,18,"SF","GB",43,4,15,25
2001,18,"BAL","MIA",31.5,3,20,3
2001,19,"PHI","CHI",31,3,33,19
2001,19,"OAK","NE",37.5,3,13,16
2001,19,"BAL","PIT",33,5.5,10,27
2001,19,"GB","STL",55.5,11.5,17,45
2001,20,"NE","PIT",37.5,10,24,17
2001,20,"PHI","STL",48,10.5,24,29
2001,21,"STL","NE",53,-14,17,20
2002,1,"SF","NYG",38.5,-3.5,16,13
2002,1,"NYJ","BUF",40.5,-3,37,31
2002,1,"BAL","CAR",33.5,-2,7,10
2002,1,"MIN","CHI",40.5,4.5,23,27
2002,1,"SD","CIN",37.5,2.5,34,6
2002,1,"KC","CLE",36,2,40,39
2002,1,"STL","DEN",52,-3,16,23
2002,1,"ATL","GB",42.5,7,34,37
2002,1,"IND","JAC",43.5,-3.5,28,25
2002,1,"DET","MIA",35.5,8,21,49
2002,1,"SEA","OAK",41,7,17,31
2002,1,"NO","TB",37.5,5.5,26,20
2002,1,"PHI","TEN",37,1,24,27
2002,1,"ARI","WAS",43.5,7,23,31
2002,1,"DAL","HOU",33.5,-8,10,19
2002,1,"PIT","NE",37,-2.5,14,30
2002,2,"CHI","ATL",44.5,3,14,13
2002,2,"TB","BAL",33,-3.5,25,0
2002,2,"DET","CAR",37,3,7,31
2002,2,"CIN","CLE",39,4,7,20
2002,2,"TEN","DAL",37,-3,13,21
2002,2,"MIA","IND",46.5,2,21,13
2002,2,"JAC","KC",44.5,4,23,16
2002,2,"BUF","MIN",48,5,45,39
2002,2,"GB","NO",45.5,-2,20,35
2002,2,"NE","NYJ",42,1.5,44,7
2002,2,"HOU","SD",33.5,12.5,3,24
2002,2,"DEN","SF",44,3.5,24,14
2002,2,"ARI","SEA",40,3.5,24,13
2002,2,"NYG","STL",46,12.5,26,21
2002,2,"OAK","PIT",40,4,30,17
2002,2,"PHI","WAS",44.5,-3,37,7
2002,3,"SD","ARI",39.5,-1.5,23,15
2002,3,"NO","CHI",40.5,1,29,23
2002,3,"BUF","DEN",47.5,9,23,28
2002,3,"GB","DET",45,-8,37,31
2002,3,"IND","HOU",38.5,-11.5,23,3
2002,3,"NYJ","MIA",40.5,6,3,30
2002,3,"CAR","MIN",45,6,21,14
2002,3,"KC","NE",43.5,9,38,41
2002,3,"SEA","NYG",38.5,6,6,9
2002,3,"DAL","PHI",36.5,9,13,44
2002,3,"WAS","SF",45,9,10,20
2002,3,"CLE","TEN",38,4,31,28
2002,3,"CIN","ATL",41,7,3,30
2002,3,"STL","TB",43,-2,14,26
2002,4,"NYG","ARI",38,-3,7,21
2002,4,"CHI","BUF",44,3,27,33
2002,4,"TB","CIN",34,-7,35,7
2002,4,"NO","DET",46,-7.5,21,26
2002,4,"CAR","GB",42.5,7,14,17
2002,4,"NYJ","JAC",41.5,3,3,28
2002,4,"MIA","KC",44,-3,30,48
2002,4,"TEN","OAK",43.5,7,25,52
2002,4,"HOU","PHI",35,19.5,17,35
2002,4,"CLE","PIT",43,6,13,16
2002,4,"NE","SD",41,-3,14,21
2002,4,"DAL","STL",44,12,13,10
2002,4,"MIN","SEA",44,3,23,48
2002,4,"DEN","BAL",35.5,-7,23,34
2002,5,"TB","ATL",39,-1,20,6
2002,5,"OAK","BUF",53,-3,49,31
2002,5,"ARI","CAR",36,3.5,16,13
2002,5,"NYG","DAL",35,0,21,17
2002,5,"SD","DEN",40.5,5,9,26
2002,5,"CIN","IND",43.5,13.5,21,28
2002,5,"PHI","JAC",41.5,-3,25,28
2002,5,"NE","MIA",43.5,3,13,26
2002,5,"PIT","NO",43,3,29,32
2002,5,"KC","NYJ",45,-2.5,29,25
2002,5,"STL","SF",40.5,7,13,37
2002,5,"WAS","TEN",45,5,31,14
2002,5,"BAL","CLE",36,6.5,26,21
2002,5,"GB","CHI",44,1.5,34,21
2002,6,"PIT","CIN",41.5,-6,34,7
2002,6,"CAR","DAL",34,2,13,14
2002,6,"BUF","HOU",44,-7.5,31,24
2002,6,"BAL","IND",44,6.5,20,22
2002,6,"DET","MIN",49,4.5,24,31
